,acc_nbr,tearly,tmid,tlate,cearly,cmid,clate
2446,95C52BE9EAF6A068A58274E2F64ADFD5,7.8041,0.0,0.0,8.0,0.0,0.0
2447,95CD6B54CF261E0F80B3B3821C5B55D8,1551.5387999999998,297.28349,0.0,120.4,19.3,0.0
2448,95D85BAB3F87CDAFD3A749523116F9D5,103.63703000000001,224.55508,16.02796,42.3,48.5,7.2
2449,95E11A1651EF6D365AB8D53AA1DF3A20,2993.7115600000006,1814.5400000000002,461.7766,107.5,72.3,17.4
2450,9603F1B9469EBC9EDA302621C3100393,8.25466,9.16808,0.0,21.4,5.4,0.0
2451,96067BFB3C3A4C2EA1570947006A72D9,0.30083,0.0,0.0,3.9,0.0,0.0
2452,9626BB15925ED436617A63F5DD3B074C,54.45892,0.0,0.0,5.6,0.0,0.0
2453,96316F46A87F440AFC7513AD00F9381B,676.2348399999998,165.22777,0.0,34.3,12.7,0.0
2454,9659703C484149CF86DE718C2348EFE4,0.16493,0.0,0.0,0.1,0.0,0.0
2455,965AEA3C21C705F7B2429909BF7FFD2B,13.870099999999999,0.0,0.0,2.5,0.0,0.0
2456,9661513E81CE653076BE551BD031C912,2163.2373300000004,0.0,0.0,27.3,0.0,0.0
2457,96765E46D5B3F150CF98E3A90439B184,140.4241,0.0,0.0,17.3,0.0,0.0
2458,9690ED213EC8C8B08AC06F62B998F1D2,50.79957,0.0,0.0,2.3,0.0,0.0
2459,96ACA96297C6429DEA6D85AFD3282CB8,186.3725,0.0,0.0,16.7,0.0,0.0
2460,96F2553978FFB095ABAA167739CFC8FA,534.54464,616.89078,0.0,125.8,74.1,0.0
2461,96FE7465464AA8E8AAD34A7462583A99,346.54103999999995,0.0,0.0,269.4,0.0,0.0
2462,970584BEE9BC91178CF8BF8341662B6E,2934.40288,110.23053999999999,0.0,127.5,6.2,0.0
2463,970AD2C50EE4D89E47C6B93A015D69F4,29.9078,0.0,0.0,6.8,0.0,0.0
